Dia,Cliente,Conocim.,Contenedor,Envase,Cant.,Volumen,Ubic.,Estado,idcont
2025-02-13,Hyt Investments S.A.,ICC-SKT-151024-10,JPYZ-799086-1,Bultos,545,-65,CTNNAC,Pendiente,1224.0
2025-02-11,Transport Van Int. Co S.A,LIFBUE25010003,IGYH-185715-9,Bultos,3,-18,ANEX-A1,Pendiente,1296.0
2025-02-11,Hyt Investments S.A.,ICC-SKT-151024-10,UETF-799086-1,Bultos,545,-65,CTNNAC,Pendiente,1224.0
2025-02-11,Sk Distributors S.R....,DLNB2412147,WECZ-449915-4,Contenedor,1,-60,PLZA,Pendiente,
2025-02-11,Latos Sa,NB241151957,OTCM-964393-5,Contenedor,1,0,PLZA,Pendiente,
2025-02-17,Dpmg S.A.,267927681,WTEA-048569-3,Contenedor,1,0,PLZA,Pendiente,
2025-02-17,Ba Comex S.A,TWLE24120169,IMIV-867855-9,Contenedor,1,-60,PLZA,Pendiente,
2025-02-17,Eurovan Brasil S...,MVANES20241912-01,SVUA-194374-7,Bultos,227,-25,IA9,Pendiente,1336.0
2025-02-17,Eurovan Brasil S...,MVANES20241912-01,BPIF-194374-7,Bultos,227,-25,IA9,Pendiente,1336.0
2025-02-19,Eurovan Brasil S...,MVANES20240712,NMIU-011555-4,Bultos,224,-50,IB7,Pendiente,1246.0
2025-02-19,Transport Van Int. Co S.A,HLCUBSC2412BUYO0,SIYL-311860-0,Contenedor,1,-30,PLZA,Pendiente,
2025-02-19,La Logic Metal De L...,SHOE24008003,JOOA-714425-9,Contenedor,1,-60,PLZA,Pendiente,
2025-02-19,Fedtex S.R.L,TWLE24120170,NKAU-971473-0,Contenedor,1,-60,PLZA,Pendiente,
2025-02-19,Transport Van Int. Co S.A,LIFBUE25010006,SRVR-183154-9,Bultos,1,-11,N23-1,Pendiente,1324.0
2025-02-19,Noah Servicess.R.L.,69983225A,DYVN-375565-1,Bultos,14,-50,ANEX-A1,Pendiente,1339.0
2025-02-19,Noah Servicess.R.L.,69983225A,EOVR-375565-1,Bultos,14,-50,ANEX-A1,Pendiente,1339.0
2025-02-19,Noah Servicess.R.L.,69983225B,JCBB-375565-1,Bultos,1,0,N1A1,Pendiente,1339.0
2025-02-19,Noah Servicess.R.L.,69983225B,SMSB-375565-1,Bultos,1,0,N1A1,Pendiente,1339.0
2025-02-14,Grupo Simpa Sa,202408749001,QXCX-453787-3,Bultos,37,-45,CTNNAC,Pendiente,1151.0
